DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
27-03-2026,EQ,237.55,239.14,232.4,242.18,232.71,233.17,235.75,368.45,194.8,38767229,9139182707,239888
25-03-2026,EQ,242,244.5,240.01,237.94,241.97,242.18,242.25,368.45,194.8,64768357,15690427889,295692
24-03-2026,EQ,231,240.29,230.81,226.96,238.05,237.94,235.55,368.45,194.8,63944923,15062117914,292622
23-03-2026,EQ,227.9,231.4,224.21,232.29,226.86,226.96,227.03,368.45,194.8,71121843,16146997712,507043
20-03-2026,EQ,230.1,236.7,230.1,228.74,233,232.29,232.82,368.45,194.8,55775443,12985701129,299068
19-03-2026,EQ,236.99,238.49,227.65,242.54,229.5,228.74,231.61,368.45,194.8,72305788,16746460360,393824
18-03-2026,EQ,235.8,243.22,234.04,234.63,242.75,242.54,240.69,368.45,194.8,74981953,18047354839,299087
17-03-2026,EQ,223,236.13,222.75,222.04,234.45,234.63,232.11,368.45,194.8,85823179,19920545430,522910
16-03-2026,EQ,215,223.64,212.6,215.68,222.5,222.04,217.86,368.45,194.8,53267837,11605129869,254095
13-03-2026,EQ,220.9,222.99,214.28,221.17,217,215.68,216.82,368.45,194.8,65462174,14193719017,285272
12-03-2026,EQ,220.25,223.85,213.06,223.8,220.9,221.17,218.79,368.45,194.8,65732459,14381731754,427631
11-03-2026,EQ,226.6,227.93,223.05,226.62,223.44,223.8,225.26,368.45,194.8,34327861,7732795406,297815
10-03-2026,EQ,232,233.23,224.86,229.56,226.7,226.62,227.55,368.45,194.8,47196661,10739612805,350001
09-03-2026,EQ,226.5,230.86,219.8,232.57,230.5,229.56,225.45,368.45,194.8,48505614,10935664745,301708
06-03-2026,EQ,240.63,242.9,231.58,240.14,233.04,232.57,235.33,368.45,194.8,44605775,10497036715,213814
05-03-2026,EQ,244.5,244.5,234,240.73,240.49,240.14,237.79,368.45,194.8,44324414,10539713923,309419
04-03-2026,EQ,237,244,236.36,242.87,240.5,240.73,239.92,368.45,194.8,48878958,11727010799,323365
02-03-2026,EQ,238,244.48,234.65,246.3,242.3,242.87,240.98,368.45,194.8,73388956,17685297702,410759
27-02-2026,EQ,246.05,252,243.75,246.5,247.5,246.3,248.3,368.45,194.8,57272916,14220744749,324686
26-02-2026,EQ,251.55,254.7,246,250.2,246.5,246.5,249.57,368.45,194.8,76804030,19167810226,348415
25-02-2026,EQ,255.2,256.6,249.45,254,250.1,250.2,251.72,368.45,194.8,103388324,26025158187,364328
24-02-2026,EQ,260,264.9,251.8,268,254.4,254,256.03,368.45,194.8,76836880,19672475325,535404
23-02-2026,EQ,270.25,271.75,264.85,269.45,268.55,268,267.04,368.45,194.8,34454292,9200570174,289350
20-02-2026,EQ,270.8,272.5,267.85,271.75,268.2,269.45,269.87,368.45,194.8,19317167,5213084487,154278
19-02-2026,EQ,277.35,279.8,269.85,277.35,270.8,271.75,274.75,368.45,194.8,23971631,6586237679,129838
18-02-2026,EQ,283.1,284.65,273,281.5,277.1,277.35,276.98,368.45,194.8,35129399,9730245396,184498
17-02-2026,EQ,284,284,277.35,286.6,281.35,281.5,279.76,368.45,194.8,34291326,9593319819,246200
16-02-2026,EQ,285.2,289.7,283.9,285.2,286.35,286.6,286.85,368.45,194.8,19958107,5724944864,160519
13-02-2026,EQ,298,300,283.8,298,285.2,285.2,287.88,368.45,194.8,47583835,13698262684,275857
12-02-2026,EQ,296.2,300,291.4,300.7,297.4,298,296.37,368.45,194.8,34873811,10335537356,196488
